shift_id,logged_by,note
S100712,SUP-01,adams off sick. again. covered.
S104567,SUP-11,as per normal
S100797,SUP-09,ok
S108503,SUP-22,sharp
S106863,SUP-07,no issues on site
S105139,SUP-17,Next shift guard did not pitch. Had to cover.
S108280,SUP-15,stood in for sibiya
S109124,SUP-23,Clieent requested deep clean before the audit - approved
S106093,SUP-05,"waited for relief, nobody came through"
S106268,SUP-11,as per normal
S105124,SUP-08,double shift because relief never pitched
S102948,SUP-22,"relief only arrived six, stayed until then.."
S101081,SUP-01,nothing to report
S105625,SUP-16,"additional cover requested by site manager, signed off"
S104037,SUP-01,"masjien is stukkend, alles met die hand gedoen"
S105960,SUP-22,"radebe absent, took her rounds as well"
S100537,SUP-11,Covering for Mavuso - booked off sick..
S109200,SUP-20,ntr
S102385,SUP-12,stood in for Naidoo
S101042,SUP-03,"uNdlovu akezanga namhlanje, ngimele yean"
S108254,SUP-24,Covering for Fourie - booked off siick
S106011,SUP-12,"extra patrol per client email, approved by office"
S101573,SUP-16,"uNkosi akezanga namhlanje, ngimele yeena"
S105696,SUP-24,"uNkosi akezanga namhlanje, ngimele yena"
S103370,SUP-21,"coovering Baloyi post, no show no call"
S100181,SUP-17,"still on sitee, relief was suppose to come 6am"
S108268,SUP-18,Radebe off sikc. again. cvered..
S105572,SUP-02,fine
S103808,SUP-10,"coverign Mavuso post, no show no call"
S101817,SUP-23,double shift because relief never pitched
S108371,SUP-15,.
S108540,SUP-23,"next shift akafikanga, ngihlale kuze kube 06h00"
S106935,SUP-15,"stocktake ran over, client asked us to remain, they knnow they pay for it"
S109156,SUP-10,"generator fault, stayed to monitor"
S100726,SUP-09,"gate motor failed, manned it by hand till six"
S103382,SUP-18,"waited for relief, nobody came through"
S102640,SUP-04,"machine dowwn aggn, took twice as long"
S103033,SUP-16,"aflos het nie opgedaag nie, moes aanbly"
S109286,SUP-08,"client wanted extra man on the gate for the event, approved"
S103604,SUP-20,stood in for Mokoena
S100052,SUP-16,Client requested deep clean before the audit - approved
S107154,SUP-15,sharp
S107291,SUP-09,extra hrs approved by client for the event setup
S106495,SUP-20,"client wanted extra man on the gate for the event, approved.."
S105669,SUP-01,
S106182,SUP-13,all quiet
S103440,SUP-20,"generator fault, stayed to monitor.."
S100516,SUP-15,"double duy today, adams on family responsibility leave"
S105883,SUP-15,-
S100363,SUP-20,"generator fault, stayed to monitor.."
S106025,SUP-10,"client says stay till six, dont know if office approved"
S103703,SUP-02,doouble shift bc relief never pitched
S103757,SUP-20,centre manager requested additional cover for stocktake
S101612,SUP-19,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102247,SUP-15,"waited 20 min for handover, OB book not signed"
S109254,SUP-02,"client says stay till six, dont know if office approved.."
S101501,SUP-16,"late handover, waiting on paperwork"
S107309,SUP-13,no incidents
S102584,SUP-24,"masjien is stukkend, alles met die hand gedoen"
S100200,SUP-09,"no replacement sent, ngicela sort this out"
S103476,SUP-03,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S108439,SUP-07,"lift out of order, everything carried up stairs, took lng"
S108057,SUP-09,"double duty today, Sithole on family responsibility leave !"
S108088,SUP-22,"masjien is stkkend, alles met die hand geddoen"
S103864,SUP-24,ok
S101330,SUP-09,akukho lutho
S108094,SUP-17,"lift out of orde,r everything carried up stairs, took long"
S108510,SUP-22,ok
S101480,SUP-14,stood in for Dlamini
S109289,SUP-21,client signed for the extra hrs but real reason is relief no show agn
S102835,SUP-01,"relef only arrived 6am, stayed until then.."
S108064,SUP-17,baloyi off sick. agn. covered.
S100548,SUP-05,stood in for fourie
S105079,SUP-05,"control room says relief coming, nobody came"
S107135,SUP-11,Centre mgr requested additional cover for stocktake
S104344,SUP-23,"Jacobs absent, took her rounds as well"
S101630,SUP-10,"stocktake ran over, client asked us to remain, they know they pay for it"
S103170,SUP-09,fine
S101566,SUP-01,sharp
S102828,SUP-24,akukho lutho
S107529,SUP-07,"worked through, Zulu at the clinic"
S107515,SUP-06,akukho lutho
S108864,SUP-11,"aflos het nie opgedaag nie, moes aanbly"
S108457,SUP-17,shitf handover delayed by 25 min
S106995,SUP-04,"double duty today, Adams on family responsibility leave"
S104151,SUP-02,"handover late again, keys missing"
S103790,SUP-01,"worked through, dlamini at the clinic"
S101197,SUP-11,ntr
S101718,SUP-12,fine
S101587,SUP-17,"late handover, waitng on paperwork"
S107156,SUP-21,"usithole akezanga namhlanje, ngimeel yena"
S101092,SUP-11,no issues on site
S106356,SUP-22,"worked through, Sithole at the clinic"
S102632,SUP-24,"uMahlangu akezanga namhlanje, ngimele yena.."
S107359,SUP-08,"additional cover requested by site manager, signed off"
S102118,SUP-19,all quiet
S108650,SUP-14,"double duty today, Hendricks on family responsibility leave"
S105655,SUP-05,"handover late agn, keys missing"
S107623,SUP-04,Centre manager requested additional cover for stocktake
S108743,SUP-11,"worked through, Mokoena at the clinic"
S100665,SUP-11,"Molefe absent, took her rounds as well"
S103435,SUP-16,"gedek vir Wyk, siek gemeld"
S106108,SUP-15,RELIEF NO SHOW AGAIN
S105842,SUP-16,"relief never arrived, stayed on till six"
S106086,SUP-24,"extra patrol per client email, approved by office !"
S104859,SUP-09,"extra patrol per client email, approved by office"
S107212,SUP-09,
S103756,SUP-05,"stocktake ran over, client asked us to remain, they know they pay for it"
S104304,SUP-22,double shift because relief never pitched
S100332,SUP-18,"covering Zulu post, no show no call"
S102371,SUP-15,Khumalo off sick. again. covered.
S107991,SUP-08,Covered for Ndlovu agn - 3rd time this month
S100302,SUP-24,client requested deep clean before the audit - approved
S102062,SUP-07,"double duty today, Pillay on family responsibility leave"
S107810,SUP-03,"oorhandiging was laat, gewag vir sleutels"
S106116,SUP-08,"gedek vir Zulu, siek gemeld.."
S104043,SUP-23,"waited 25 min for handover, OB book not signed"
S104333,SUP-19,Next shift guard did not pitch. Had to cover.
S104906,SUP-01,"machine down agn, took twice as long"
S105451,SUP-01,all quiet
S108872,SUP-10,"late handover, waiting on paperwork"
S108027,SUP-10,klient het ekstra ure gevra vir stocktake
S107476,SUP-20,"worked through, Sibiya at the clinic"
S102766,SUP-20,.
S103672,SUP-19,no issues on site
S105472,SUP-22,-
S107747,SUP-12,"machine down agn, took twice as long"
S107208,SUP-21,shift handover delayed by 30 min !
S107555,SUP-14,SHIFT HANDOVER DELAYED BY 40 MIN
S100891,SUP-10,no relief. stayed. someone must please srt the roster
S106282,SUP-05,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S102843,SUP-10,as per normal
S109339,SUP-05,double shift beacuse relief never pitched
S104674,SUP-04,quiet shift
S102694,SUP-16,ok
S101629,SUP-14,Cetre manager requested additional cover for stocktake
S109086,SUP-09,nothing to report
S108692,SUP-06,klient het ekstra ure gevra vir stocktake
S107462,SUP-23,"handover late again, keys missing"
S106103,SUP-09,covered for molefe again - 3rd time this month
S105103,SUP-22,-
S106879,SUP-14,"uMavuso akezana namhlanje, ngimele yean"
S104654,SUP-13,"handover late again, keys missing"
S101764,SUP-20,"STOCKTAKE RAN OVER, CLIENT ASKD US TO REMAIN, THEY KNOW THEY PAY FOR IT.."
S100498,SUP-01,"stocktake ran over, client asked us to remain, they know tehy pay for it"
S102011,SUP-17,all good
S103449,SUP-15,"client asked us to stay for the deliverry, ok'd by centre mgmt.."
S105682,SUP-04,all quiet
S106607,SUP-07,"wroked through, Mabaso at the clinic"
S102744,SUP-22,Client requested deep clean before the audit - approved !
S103824,SUP-21,nothing to report
S107616,SUP-21,-
S106424,SUP-01,covering for molefe - booked off sick
S106137,SUP-21,"waited 45 min for handover, ob book not signed"
S102719,SUP-14,"machine down agn, took twice as long"
S101504,SUP-24,"took Sithole shift as well, 2 posts 1 guard"
S102874,SUP-02,"Ngcobo didnt come in, covered the post"
S105098,SUP-24,"requessted by centre management for load in, signed off"
S105180,SUP-11,"took Baloyi shift as well, 2 posts 1 guard"
S107046,SUP-22,"waited 40 min for handover, OB book not signed"
S102676,SUP-10,"worked through, motaung at the clinic !"
S105322,SUP-16,extra hours approved by client for the event setup
S107350,SUP-06,Centre manager requested additional cover for stocktake
S107707,SUP-10,no relief. stayed. someone must pls sort the roster
S106277,SUP-08,"Fourie didnt come in, covered the post"
S108049,SUP-20,"client wanted extra man on the gate for the event, approved"
S101735,SUP-09,as per normal
S103842,SUP-23,"took Radebe shift as well, 2 posts 1 guard"
S100398,SUP-19,"double duty today, adams on family responsibility leave"
S100319,SUP-18,"client asked us to stay for the delivery, ok'd by centre mgmt"
S108777,SUP-14,no incidents
S106576,SUP-05,"control room says relief coming, nobody came"
S108538,SUP-14,nothing to report
S106370,SUP-08,"stocktake ran over, client asked us to remain, they know they pay for it"
S107336,SUP-04,"client wanted extra man on the gate for the event, approved"
S106801,SUP-07,"took Sibiya shift as well, 2 posts 1 gurad !"
S100331,SUP-14,"late handover, waitting on paperwork.."
S101887,SUP-24,extra hrs approved by client for the event setup..
S100525,SUP-19,"requested by centre management for load in, signed off"
S102246,SUP-03,"next shift akafikanga, ngihlale kuze kube six"
S108330,SUP-12,ok
S105314,SUP-24,"khumalo didnt comme in, covered the post"
S103111,SUP-06,"requested by centre management for load in, signed off"
S106974,SUP-24,covering for wyk - booked off sck
S102866,SUP-13,"aflos het nie opgedaag nie, moes aanbly"
S101384,SUP-24,stod in for Sithole
S106096,SUP-18,"ufourie akezanga namhlanje, ngimele yena"
S107944,SUP-02,"requested by centre management for load in, signed off"
S101166,SUP-18,klient het ekstra ure gevra vir stocktake
S104424,SUP-24,all quiet
S102408,SUP-18,"wated 40 min for handover, OB book not signed"
S106818,SUP-06,.
S107060,SUP-13,Covered for Botha again - 3rd time this month..
S100307,SUP-17,"additional cover requested by site mgr, signed off"
S103057,SUP-07,no incidents
S106569,SUP-21,"gedek vir Mokoena, siek gemeld.."
S100134,SUP-11,"waited 20 min for handover, OB book not signed"
S100649,SUP-07,Client requested deep clean before the audit - approved
S102054,SUP-05,kllient het ekstra ure gevra vir stocktake
S106281,SUP-03,Covred for Mavuso again - 3rd time this month
S105582,SUP-11,"generator fault, stayed to monitor"
S103702,SUP-05,stood in for Mokoena
S100773,SUP-21,as per normal
S103475,SUP-14,all good
S101458,SUP-10,"COVERING MAHLANGU POST, NO SHOW NO CALL"
S108745,SUP-04,"late handover, waiting on paperwork"
S108265,SUP-24,no relief. stayed. someone mut please sort the roster
S107404,SUP-24,n/a
S107077,SUP-04,stood in for Sibiya
S105755,SUP-11,"lift out of order, everything carried up stairs, took loong"
S106286,SUP-10,"late handover, waiting on paperwork"
S106440,SUP-13,"next shift akafikanga, ngihlale kuze kube six"
S102086,SUP-18,all quiet
S103486,SUP-19,"worked through, Wyk at the clinic"
S103158,SUP-10,"waited 25 min for handover, OB book not signed"
S102971,SUP-12,extra hours approved by client for the event setup
S101051,SUP-08,fine
S105647,SUP-05,Client asked for extra patrol after the break-in Tuesday
S101820,SUP-07,"covering Ngcobo post, no show no call"
S101768,SUP-24,"generator fault, stayed to monitor"
S106091,SUP-02,"worked through, mavuso at the clinic"
S105295,SUP-10,n/a
S107709,SUP-20,no relief. stayed. someone must please sort the roster
S107617,SUP-17,"handover lae again, keys missing"
S103039,SUP-05,"waited 50 min for handover, OB book not signed"
S101609,SUP-02,"covering Cele post, no show no call"
S109137,SUP-14,extra hours approved by client for the event setup
S105287,SUP-15,as per normal
S105958,SUP-11,quiet shift
S109346,SUP-21,all good
S108892,SUP-18,"worked through, Sibiya at the clinic"
S107950,SUP-03,"handover late again, keys missiing"
S108035,SUP-04,"client wanted extra man on the gate for the event, approved"
S102930,SUP-24,"additional cover requested by site manager, signed off"
S107017,SUP-01,niks om te rapporteer nie
S101524,SUP-07,"control room says relief coming, nobody camme"
S106728,SUP-23,"nexxt shift akafikanga, ngihlale kuze kube 06h00"
S106394,SUP-11,klient het ekstrra ure gevra vir stocktake
S104415,SUP-02,Covered for Mthembu agn - 3rd time this month
S103765,SUP-21,"extra patrol per client email, approved by office"
S100558,SUP-22,"requested by centre management for load in, signed off"
S103614,SUP-13,"additional cover requested by site manager, signed off"
S105922,SUP-16,Covered for Wyk again - 3rd time this month..
S106407,SUP-16,Naidoo off sick. again. covered.
S101313,SUP-22,sharp
S106100,SUP-18,"waited 50 min for handover, ob book not signed"
S101614,SUP-16,"aflos het nie opgedaag ne, moes aanbly"
S105641,SUP-05,"double dutty today, molefe on fmaily responsibility leave.."
S104433,SUP-02,"lift out of order, everything carried up stairs, took long"
S100057,SUP-19,sharp
S101497,SUP-24,n/a
S105204,SUP-10,"buffer machine kaput, did the floor by hand"
S108450,SUP-06,"extra patrol per client email, approved by office"
S105609,SUP-18,Client asked for extra patrol after the break-in Tuesday
S100795,SUP-08,-
S104407,SUP-12,"relief only arrived 0600, stayed until then"
S105854,SUP-21,ntr
S107175,SUP-15,no incidents
S107368,SUP-11,"client says sttay till six, dont know if office approved"
S101748,SUP-16,Centre manager requested additional cover for stocktake
S104326,SUP-21,"stocktake ran over, client asked us to remain, they know they pay for it"
S108683,SUP-16,"additional cover requested by site manager, signed off"
S105737,SUP-20,fine
S109177,SUP-17,ok
S107873,SUP-17,Sibiya off sick. agn. covered.
S100114,SUP-15,"waited 25 min for handover, ob book not signed"
S103831,SUP-06,"uWyk akezanga namhlanje, ngimele yena"
S102079,SUP-03,all good
S104665,SUP-12,Client asekd for extra patrol after the break-in Tuesday
S105651,SUP-09,"oorhandiging was lata, gewag vir sleutels"
S100389,SUP-01,"masjien is stukkedn, alles met die hand gedoen.."
S107711,SUP-15,SHIFT HANDOVER DELAYED BY 40 MIN
S108496,SUP-17,no incidents
S106753,SUP-19,"took botha shift as well, 2 posts 1 guard"
S103779,SUP-21,"control room says relief coming, nobody came"
S105658,SUP-03,Client requested deep clean befre the audit - approved
S106880,SUP-19,"extra patrol per client email, approved by ofice"
S100276,SUP-09,"late handover, waiting on paperwork"
S106220,SUP-16,Client requested deep clean before the audit - approved
S107418,SUP-01,all quiet
S104901,SUP-20,"generator fault, stayed to monitor"
S107297,SUP-22,double shift because relief never pitched
S108899,SUP-01,"masjien is stukkend, alles met die hand gedoen"
S102709,SUP-15,-
S107372,SUP-20,"uNgcobo akezanga namhlanje, ngimele ynea"
S109370,SUP-22,"still on site, relief was suppose to come 06:00"
S109272,SUP-13,"generator fault, stayed to monitor"
S103799,SUP-09,"relief never arrived, stayed on till 06h00"
S104108,SUP-22,next shift guard did not pitch. had to cover..
S102977,SUP-12,"gedek vir Mthembu, siek gemeld !"
S103868,SUP-04,"requested by centre management for load in, signed off"
S107802,SUP-07,.
S104312,SUP-02,.
S107243,SUP-08,"worked through, Sibiya at the clinic"
S100325,SUP-19,klient het ekstra ure gevra vir stocktake
S101773,SUP-15,"client says stay till 06h00, dont know if office approved"
S108846,SUP-13,"handover late agn, keys missing"
S101203,SUP-19,"gedek vir Mthembu, siek gemeld"
S106597,SUP-19,"client says stay till 06h00, dont know if office approved"
S101888,SUP-10,no relief. stayed. someone mut please sort the roster..
S107461,SUP-08,"aflos het nie opgedaag nie, moes aanly"
S106344,SUP-20,"umaluleke akezanga namhlanje, ngimele yeena"
S109397,SUP-07,fine
S105504,SUP-03,"client asked us to stay for the delivery, ok'd by centre mgmt"
S102288,SUP-02,extra hrs approved by client for the event setup
S104628,SUP-07,Covering for Adams - booked off sick
S106519,SUP-15,no relief. stayed. someone must please sort the roster
S104644,SUP-06,niks om te rapporteer nie
S100172,SUP-19,"uSibiya akezanga namhlanje, ngimele yena"
S108096,SUP-18,RELIEF NO SHOW AGAIN
S103599,SUP-03,shift handover deelayed by 40 min !
S108176,SUP-18,"stocktake ran over, client asked us to remain, they know they pay for it"
S105643,SUP-21,"handover late again, keys missing"
S101740,SUP-14,extra hrs approved by client for the event setup
S102995,SUP-24,as per normal
S104319,SUP-16,"Tshabalala absent, took her rounds as well"
S106228,SUP-06,"extra patrol per client email, approved by office"
S107960,SUP-21,"covering Naidoo post, no show no call"
S104406,SUP-12,"oorhandiging was laat, gewag vir sleutels"
S103004,SUP-05,"requested by centre managemennt for load in, signed off !"
S104421,SUP-05,"scrubber broke down, had to do the floor manually"
S103392,SUP-17,"next shift akafikanga, ngihlale kuze kube 6.."
S101089,SUP-09,"masjien is stukkend, ales met die hand gedoen !"
S107862,SUP-05,"lift out of order, everything carried up stairs, took long"
S100345,SUP-11,"uMahlangu akezanga namhlanje, ngimele yena"
S106623,SUP-19,"double duty today, Hendricks on family responsibility leave"
S108674,SUP-22,"client says stay till 0600, dont know if office approved"
S108192,SUP-05,"stocktake ran over, client asked us to remain, they know they pay for it"
S104689,SUP-12,"Maluleke didnt come in, covered the post"
S104878,SUP-19,"double duty today, Jacobs on family responsibility leae.."
S108196,SUP-10,"client wanted extra man on the gate for the event, approved !"
S107497,SUP-02,"double duty today, Motaung on family responsibility leave"
S103401,SUP-14,no relief. stayed. someone must please sort the roster
S100710,SUP-13,"no replacment sent, ngicela sort this out"
S105319,SUP-10,"double duty today, Sibiya on family responsibility leave"
S103592,SUP-23,"relief only arrived sxi, stayed until then.."
S108446,SUP-06,kliennt het ekstra ure gevra vir stocktake
S107986,SUP-16,"extra patrol per client email, approved by office"
S106383,SUP-16,"ungcobo akezanga namhlanje, ngimele yena"
S109100,SUP-05,"client wanted extra man on the gate for the event, approved"
S104885,SUP-17,"late handover, waiting on paperwork !"
S103044,SUP-16,double shift bc relief never pitched
S105817,SUP-09,ok
S103443,SUP-18,"lift out of order, everything carried up stairs, took long"
S105267,SUP-24,"bfufer machine kaput, did the floor by hand"
S106432,SUP-08,"oorhandiging was laat, gewag vir sleutels"
S107698,SUP-11,"no replacement sent, ngicela sort this out"
S106374,SUP-09,Centre mgr requested additional cvoer for stocktake
S107985,SUP-18,stood in for zulu
S105143,SUP-21,"lift out of order, everything caried up stairs, took long"
S105302,SUP-17,"double duty today, Fourie on famiy responsibility leave"
S101859,SUP-24,klient het ekstra ure gevra vir stocktake
S100868,SUP-24,ntr
S100269,SUP-10,no relief. stayed. someone must please sort the roster
S108858,SUP-16,"botha didnt come in, covered the post.."
S108494,SUP-19,"client says stay till 6, dont kow if office approved"
S100283,SUP-06,"oorhandiging was laat, gewag vir sleutles !"
S108586,SUP-22,"handover latte again, keys missing"
S100771,SUP-10,Covered for Fourie again - 3rd time this month..
S105780,SUP-05,ntr
S104883,SUP-14,ok
S107995,SUP-05,stood in for mabaso
S106316,SUP-04,extra hrs appproved by client for the event setup
S103446,SUP-07,"generator fault, stayed to monitor"
S100535,SUP-03,"generator falut, stayed to monitor"
S107049,SUP-23,"lift out of order, everything carried up stairs, took long"
S102839,SUP-19,"aflos het nie opgedaag nie, moes aanblly"
S103610,SUP-16,no relief. stayed. someone must please sort the roster
S104382,SUP-16,niks om te rapporteer nie
S108357,SUP-05,"covering Ndlovu post, no show no call"
S103685,SUP-08,"generator fault, stayd to monitor"
S106148,SUP-18,"handover late again, keys missing"
S102498,SUP-13,ntr
S107042,SUP-24,"covering Molefe post, no show no call"
S104646,SUP-02,"stocktake ran over, client asked us to remain, they know they pay for it"
S101526,SUP-14,"worked throuugh, September at the clinic"
S107967,SUP-07,"waited for releif, nobody came through"
S107549,SUP-06,
S105630,SUP-08,shift handover delayed by 30 min
S105327,SUP-10,Covering for Botha - booked off sick
S108130,SUP-08,"additional cover requested by site mgr, signed off"
S106201,SUP-20,-
S106899,SUP-24,"uMokoena akezanga namhlanje, ngimele yena"
S107524,SUP-19,"double duty today, Sibiya on family responsibility leave"
S103153,SUP-14,"worked through, Sibiya at the clinic"
S104338,SUP-16,"Nkosi didnt come in, covered the post"
S100724,SUP-07,"client wanted extra man on the gate for the evvent, approved !"
S104648,SUP-18,.
S104083,SUP-01,"september absent, took her rounds as well"
S107344,SUP-08,"handover late agn, keys missing"
S103612,SUP-14,shift hadnover delayed by 30 min
S102378,SUP-07,"client waned extra man on the gate for the event, approved"
S106888,SUP-05,"oorhandiging was laat, gewag vir sleutels"
S105165,SUP-19,"aflos het nie opgedaga niie, moes anbly"
S105888,SUP-19,klient het ekstra ure gevra vir stocktake..
S102710,SUP-06,"tshabalala absent, took her rounds as well"
S106661,SUP-20,"waited 30 min for handover, OB book not signed.."
S102302,SUP-02,"gedek vir Adams, siek gemeld"
S107989,SUP-15,"control room says relief comin, nobody came"
S105809,SUP-19,"control room says relief coming, nobody came !"
S103143,SUP-05,stood in for Baloyi
S102309,SUP-24,all good
S107728,SUP-10,stood in for Maluleke
S107898,SUP-07,"relief only arrived 6am, stayed until then"
S106422,SUP-08,"late handover, waiiting on paperwork"
S106283,SUP-23,extra hrs approved by client for the event setup
S106415,SUP-20,"masjien is stukkend, alles met die hand gedoen"
S106276,SUP-04,nothing to report
S103020,SUP-10,Botha off sick. agn. covered.
S108204,SUP-08,klient het ekstra ure gevra vir stocktake
S101096,SUP-05,"tok Botha shift as well, 2 posts 1 guard"
S105634,SUP-18,"requested by centre management for load in, signed off"
S101833,SUP-15,"uhendrciks akezanga namhlanje, ngimele yena.."
S108364,SUP-12,"additional cover requested by site manager, signed off"
S103068,SUP-02,"Wyk didnt coome in, covered the post"
S101059,SUP-15,"WORKED THROUGH, SIBIYA AT THE CLINIC.."
S100360,SUP-13,"gate motor failed, manned it by hand tilll 0600.."
S102441,SUP-19,covering for maluleke - booked off sick
S105488,SUP-17,akukho lutho
S107400,SUP-21,all fine
S102824,SUP-01,"control room says relief coming, nobody came"
S107235,SUP-09,nothing to report
S106874,SUP-01,"baloyi didnt come in, covered the post"
S106788,SUP-22,"additional cover requested by site mgr, signed off"
S107521,SUP-06,"relief only arrived 06:00, stayyed until then"
S107155,SUP-20,quiet shift
S107308,SUP-15,all good
S107072,SUP-03,"still on site, relief was suppose to come six !"
S101898,SUP-22,"Sibiya didnt come in, covered the post"
S104077,SUP-18,"took Ngcobo shift as well, 2 posts 1 guard"
S102140,SUP-12,"scrubber broke down, had to do the floor manually"
S106906,SUP-01,next shift guard did not pitch. had to cover..
S106659,SUP-17,"Wyk absent, took her rounds as well"
S108596,SUP-12,all fine
S109349,SUP-05,n/a
S104858,SUP-20,Covering for Ngcobo - booked off sick
S100523,SUP-12,relief no show AGAIN
S104204,SUP-08,"covering molefe post, no show no call"
S103595,SUP-12,"umolefe akezanga namhlanje, ngimele yena"
S108047,SUP-02,all quiet
S109308,SUP-12,"uZulu akezanga namhlanje, ngimele yena"
S105050,SUP-15,stood in for Pillay..
S106433,SUP-15,extra hrs approved by client for the event setup
S103585,SUP-13,no relief. stayed. someone must pls sort the roster
S100972,SUP-02,all quiet
S102704,SUP-20,ntr
S105748,SUP-04,"Mavuso didnt come in, covered the post.."
S109111,SUP-22,
S102010,SUP-16,shift hanndover delayed by 30 min
S105626,SUP-18,"covering Mahlangu post, no show no call"
S101392,SUP-24,"handover late again, keys missing"
S107771,SUP-01,-
S104924,SUP-19,"Naidoo absent, tok her roudns as well"
S100849,SUP-06,no issues on site
S107541,SUP-01,fine
S103960,SUP-23,"no replacement sent, ngicela sort this out"
S102399,SUP-18,"worked through, Molefe at the clinic"
S104498,SUP-03,"requested by centre management for load in, signed off"
S100311,SUP-16,no relief. stayed. someone must please sort the roster..
S107355,SUP-20,Covering for Naidoo - booked off sick..
S105207,SUP-02,sharp
S102913,SUP-14,quiet shift
S104834,SUP-22,n/a
S104231,SUP-08,"oorhandiging was laat, gewag vir sleutels"
S104030,SUP-10,"waited for relief, nobody came through"
S100774,SUP-18,Centre manager requested additional cover for stocktake
S101839,SUP-16,quiet shift
S102944,SUP-18,n/a
S103411,SUP-08,ceentre manager rqeuested additional cover for stocktake
S108179,SUP-06,"Motaung didnt come in, covered the post"
S106154,SUP-04,"waited 20 min for handover, ob book not signed !"
S106133,SUP-07,stood in for Wyk
S103061,SUP-17,"generator fault, stayed to monitor.."
S100584,SUP-13,"still on site, reelief was suppose to come 06:00"
S101099,SUP-03,"oorhandiging was laat, gewag vir sleutels"
S105363,SUP-09,"uJacobs akezanga namhlanje, ngimele yena"
S103710,SUP-09,shift handover delayed by 20 min
S108037,SUP-18,"lift out of order, everything carried up stairs, took long"
S105002,SUP-19,Clint requsted deep clean before the audit - approved
S100043,SUP-23,nothing to report
S102847,SUP-08,etxra hrs approved by client for the event setup
S106613,SUP-10,sharp
S105431,SUP-13,stood in for Nkosi
S107244,SUP-07,"waited 25 min for handover, OB book not signed"
S107699,SUP-12,no incidents
S106140,SUP-01,sharp
S106965,SUP-12,"requested by centre maangement for load in, signed off"
S108481,SUP-21,ntr
S106021,SUP-01,Client asked for extra patrol after the break-in Tuesdaay
S107465,SUP-02,fine
S104653,SUP-15,"buffer machine kaput, did the floor by hand"
S103535,SUP-12,all quiet
S101987,SUP-14,quiet shift
S108585,SUP-06,"worked through, Adams at the clinic"
S108003,SUP-22,"covering Hendrricks post, no show no call"
S108898,SUP-12,"ujacobs akezanga namhlanje, ngimele yena"
S100600,SUP-08,Covering for Mavuso - booked off sick
S102555,SUP-23,"gedek vir molefe, siek gemeld.."
S104010,SUP-10,"took Ndlovu shift as well, 2 psots 1 guard"
S103664,SUP-09,.
S100894,SUP-18,"cliennt says stay till 6, dont know if office approved.."
S109246,SUP-07,fine
S103010,SUP-11,Centre mgr requested additional cover for stocktake..
S102008,SUP-18,"worked through, Naidoo at the clinic"
S106263,SUP-10,"gate motor failed, manned it by hand till 06:00"
S100576,SUP-05,Covered for Mokoena agn - 3rd time this month
S100488,SUP-23,fine
S107977,SUP-23,"late hanover, wating on paperwork"
S100274,SUP-01,n/a
S103348,SUP-01,Centre manager requested additional cover for stocktake
S103560,SUP-08,all good
S103409,SUP-11,covered for khumalo again - 3rd time this month
S108084,SUP-15,"late handover, waiting on paperwork"
S102102,SUP-08,as per normal
S102296,SUP-04,n/a
S102234,SUP-16,no incidents
S106403,SUP-03,"took molefe shift as well, 2 posts 1 guard"
S102186,SUP-07,relief no show AGAIN
S104964,SUP-02,"client says stay till 06h00, dont know if office approved"
S105846,SUP-12,"Cele absent, took her rounds as well"
S108065,SUP-10,"Jacobs didnt come in, covered the post"
S107516,SUP-10,
S105839,SUP-17,"late handover, waiting on paperwork"
S105619,SUP-15,sharp
S102607,SUP-09,extra hours approved by client for the eent setup..
S101094,SUP-23,.
S108677,SUP-24,"stocktake ran over, client asked us to remain, they know they pay for it.."
S103485,SUP-14,nothing to report
S102391,SUP-10,"masjien is stukkend, alles met die hand gedoen.."
S106343,SUP-06,ntr
S100444,SUP-09,quiet shift
S103629,SUP-01,quiet shift
S102490,SUP-12,all fine
S107573,SUP-06,-
S106955,SUP-21,maluleke off sick. again. covered.
S102351,SUP-19,"handover late again, keys missing"
S107970,SUP-16,Covered for Fourie again - 3rd time this month
S102872,SUP-17,.
S103390,SUP-19,Mavuso off sick. again. covered.
S103663,SUP-07,Next sift guuard did not pitch. Had to cover
S108607,SUP-01,ok
S107110,SUP-02,"double duty today, Maluleke on family responsibility leave"
S108272,SUP-15,"aflos het nie opgedaag nie, moes aanbly.."
S101015,SUP-14,"waited for relief, nobody caem throuhg"
S105970,SUP-06,"generator fault, stayed to monitor"
S102398,SUP-05,fine
S100890,SUP-15,COVERED FOR FOURIE AGAIN - 3RD TIME THIS MONTH
S108525,SUP-01,.
S101514,SUP-19,"control room says relief coming, nobody came"
S103076,SUP-04,"stlil on site, relief was suppose to comme 6am"
S106703,SUP-01,Client asked for extra patrol affter the break-in Tuesday
S105099,SUP-24,"next shift akafikanga, ngihlale kuze kube 06:00"
S101736,SUP-08,"tok bothha shift as wlel, 2 posts 1 guard"
S100768,SUP-11,"handover late agn, keys missing"
S103771,SUP-22,"scrubber broke down, had to do the floor manually"
S108483,SUP-14,Covering for Molefe - booked off sick
S107757,SUP-12,
S100188,SUP-03,"worked through, Wyk at the clinic"
S102703,SUP-07,as per normal
S100541,SUP-12,n/a
